国連による世界地理区分,国名,地域名,ヒジャブの出現率,解説,地域ID,地図番号,地図の範囲,地域統計（宗教人口比率）,全国参考値（宗教人口比率・2020年）,服装の根拠,出典ID,出典URL
北アフリカ,エジプト,全域（住民の生活圏）,高い,ナイル川沿い・デルタの生活圏が中心。全国のムスリム女性への2010年調査で、いつも62%、大抵21%が頭を覆うと回答。,EGY-all,001,国・地域全体,地域別数値は未取得,95.2%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; PEW_DRESS2010,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.pewresearch.org/wp-content/uploads/sites/4/legacy-pdf/Muslim-American-Report-10-02-12-fix.pdf
北アフリカ,アルジェリア,全域（住民の生活圏）,やや高い,北部の地中海沿岸に人口が集中。宗教人口は多いが、着用率を同じ数字とはみなさない。,DZA-all,002,国・地域全体,地域別数値は未取得,98.4%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
北アフリカ,モロッコ,全域（住民の生活圏）,やや高い,北部・西部の都市や農村が主な生活圏。頭を覆わない女性も多く、都市・観光地と集落で差がある。,MAR-all,003,国・地域全体,地域別数値は未取得,99.7%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
北アフリカ,チュニジア,全域（住民の生活圏）,やや高い,北部・東部沿岸の生活圏。ムスリム人口の多さだけで「高い」とは判定しない。,TUN-all,004,国・地域全体,地域別数値は未取得,99.3%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
北アフリカ,リビア,全域（住民の生活圏）,高い,北部の地中海沿岸の生活圏を主に想定。広大な南部砂漠の塗色は人口密度を表さない。,LBY-all,005,国・地域全体,地域別数値は未取得,99.0%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-LBY,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/libya/
北アフリカ,スーダン,全域（住民の生活圏）,高い,ナイル川沿い、北部・東部・西部のムスリム生活圏。避難・人口移動が大きく、資料年と撮影年に注意。,SDN-all,006,国・地域全体,地域別数値は未取得,98.9%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
北アフリカ,西サハラ,全域（住民の生活圏）,やや高い,西サハラの住民生活圏。頭を覆うメルハファ等との混同があるため、ヒジャブ単独については保守的な評価。帰属係争があり地図は境界を確定するものではない。,ESH-all,007,国・地域全体,地域別数値は未取得,99.6%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アフリカ,モーリタニア,全域（住民の生活圏）,やや高い,北西アフリカの大西洋岸から内陸。メルハファなど地域衣装との混同があるため、ヒジャブ単独については保守的な評価。,MRT-all,008,国・地域全体,地域別数値は未取得,99.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-MRT,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/mauritania/
西アフリカ,セネガル,全域（住民の生活圏）,やや高い,西端のダカールを含む広い生活圏。首を覆わない頭巻きや未着用もあり、宗教人口比率から着用率を決めない。,SEN-all,009,国・地域全体,地域別数値は未取得,97.6%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アフリカ,ガンビア,全域（住民の生活圏）,やや高い,セネガルに囲まれた細長い国の全域。頭巻きとの見分けが必要。,GMB-all,010,国・地域全体,地域別数値は未取得,97.0%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アフリカ,ニジェール,全域（住民の生活圏）,やや高い,住民の多い南部、ナイジェリア国境沿いが中心。北部砂漠の面積と遭遇機会は比例しない。,NER-all,011,国・地域全体,地域別数値は未取得,98.1%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アフリカ,マリ共和国,全域（住民の生活圏）,やや高い,南西部のバマコ周辺からニジェール川沿い、北部の町。地域衣装の頭布も多く、一律の着用率はない。,MLI-all,012,国・地域全体,地域別数値は未取得,94.1%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アフリカ,ブルキナファソ,全域（住民の生活圏）,やや高い,特に北部・東部、首都のムスリム生活圏。伝統的な頭巻きを含めて判定しない。,BFA-all,013,国・地域全体,地域別数値は未取得,67.4%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アフリカ,ギニア,北部・中部・西部（南東部の森林地帯を除く）,やや高い,北部・中部・海岸部のムスリム生活圏。南東部の森林地域は宗教構成が異なる。,GIN-north,014,緯度経度で囲った概略,地域別数値は未取得,86.8%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-GIN,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/guinea/
西アフリカ,ギニアビサウ,北東部・東部（セネガル／ギニア国境寄り）,やや高い,内陸のムスリム居住地域を学習用に大きく囲った範囲。沿岸全体の着用率を示さない。,GNB-interior,015,緯度経度で囲った概略,地域別数値は未取得,56.0%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-GNB,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/guinea-bissau/
西アフリカ,シエラレオネ,全域（住民の生活圏）,やや高い,北部・東部を含むムスリム生活圏。宗教が混在し、一般的な頭巻きも見られる。,SLE-all,016,国・地域全体,地域別数値は未取得,80.1%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アフリカ,コートジボワール,北部（マリ・ブルキナファソ国境寄り）,やや高い,北部にムスリム人口が多い。南部にも居住しているので北部に限定できる手掛かりではない。,CIV-north,017,緯度経度で囲った概略,地域別数値は未取得,46.3%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-CIV,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/cote-divoire/
